from,to,
4100014750,41009,
3600016936,36079,
5100017952,51195,
1300007612,13013,
500029650,5013,
3500015720,35059,
1900013575,19145,
1700015352,17135,
2700018188,27053,
3900026348,39059,
3900026348,39013,
3800034020,38081,
4500013150,45063,
1800029682,18065,
1900003475,19011,
2000013425,20009,
1700010292,17091,
1700010292,17053,
1700036126,17179,
3700009360,37077,
2000009700,20159,
4700002380,47017,
1200009700,12089,
3900006068,39025,
2000009350,20139,
4000009850,40059,
2000014600,20125,
1700008979,17047,
2700008056,27137,
1700020890,17189,
3000009775,30111,
100003724,1005,
1700007744,17091,
800017760,8081,
4100008650,41015,
4800016120,48335,
5300000100,53027,
4200027112,42031,
5500011200,55101,
5500011200,55127,
4500007210,45013,
4900035740,49027,
2000003025,20183,
4800010216,48251,
1600003610,16043,
3700010860,37127,
2900005464,29087,
1800019486,18089,
4000030600,40015,
2700022364,27129,
4800004516,48067,
3800028780,38021,
3100003285,31123,
3900012112,39175,
3400001030,34041,
5500007725,55087,
2700006616,27053,
4500013600,45025,
4800011692,48341,
3600021105,36013,
1700000568,17047,
1900019495,19157,
200004210,2016,
3600016628,36095,
800001090,8003,
4500030490,45023,
5500004625,55111,
3800020940,38025,
2600015020,26161,
3600001088,36029,
1900000370,19001,
1900000370,19077,
5400013924,54039,
3900004402,39043,
4000032050,40117,
4000008450,40071,
2600000440,26091,
600015044,6037,
1800032332,18005,
1200007950,12081,
3900000436,39061,
4800030440,48475,
1300001248,13171,
5500005325,55093,
3400014260,34007,
1900029595,19093,
3900019344,39169,
3900019344,39103,
3900001742,39025,
1000005690,10005,
2800016460,28119,
2800016460,28107,
1200012325,12091,
500023800,5111,
3400002110,34025,
4200003120,42129,
2900002638,29027,
4500030535,45089,
200002080,2185,
3800010060,38093,
400009690,4025,
3400004990,34041,
1300004644,13089,
2900027100,29119,
100012496,1035,
2700003250,27083,
1900008425,19001,
1200026075,12003,
3800004580,38069,
3100004615,31137,
4800022984,48485,
1300021688,13319,
1300021688,13289,
2900022951,29105,
4800032984,48397,
4800032984,48257,
1600005230,16011,
3600004803,36059,
2900011728,29097,
4600006940,46039,
800017925,8029,
2900015760,29201,
2600022120,26037,
2000019600,20103,
2700020420,27123,
4800031628,48093,
5300029920,53025,
3900002582,39041,
3800001700,38059,
2000031475,20153,
3100004650,31041,
100024808,1035,
4200005384,42013,
1800009910,18015,
2700011674,27047,
4800016624,48027,
4800016624,48281,
4800016624,48099,
2200032930,22051,
1700014273,17045,
600001514,6005,
4800003696,48009,
4200027712,42007,
2900026974,29143,
4200010792,42031,
2000028900,20063,
2600029000,26049,
2400021325,24001,
3700014100,37025,
2100031402,21111,
2700008218,27055,
1700021605,17003,
1700010695,17169,
2200024180,22113,
5600017645,56003,
2700018674,27141,
4800017564,48309,
1900019585,19165,
1000025840,10001,
800018640,8075,
4800017816,48059,
4800018476,48291,
4800019000,48397,
4800019000,48257,
4800019000,48085,
4800019000,48121,
4800019000,48113,
2900019216,29187,
4200018136,42093,
4800005264,48147,
4200022832,42005,
1200016875,12127,
3700016980,37057,
1200017325,12091,
2700024470,27113,
4000028950,40019,
4000020550,40147,
1800008146,18181,
1700020162,17103,
5600013150,56025,
3400018070,34027,
4000030200,40139,
4700022000,47153,
4100021250,41067,
1800019270,18089,
5500021425,55133,
4900020890,49007,
3000023125,30049,
3400019360,34017,
3600025428,36029,
1900014925,19113,
3800038100,38097,
3900024640,39171,
3900034748,39089,
1700022931,17089,
100023344,1127,
4200022960,42049,
4200023016,42071,
5600024025,56007,
2700015184,27111,
1700005573,17031,
1700023425,17053,
3600007190,36003,
3600024229,36015,
2000006175,20015,
3100015920,31095,
3400000100,34001,
4800010072,48039,
3600024713,36095,
3000024850,30053,
4600028420,46053,
4000025400,40077,
4000025400,40079,
2900023752,29187,
1700031667,17111,
2700003970,27111,
2900030196,29189,
1300011000,13031,
1300030732,13207,
1700027624,17031,
1700027624,17197,
2100032428,21187,
2600030340,26125,
2100018424,21037,
1300031908,13139,
5500028625,55123,
3000030400,30015,
1700018940,17203,
1700018940,17179,
5400030772,54059,
500026980,5001,
3900034384,39165,
5600032435,56009,
800030780,8045,
2500026150,25009,
4800030044,48135,
1700019616,17077,
100015136,1021,
2000027200,20063,
1800029718,18031,
1200027256,12009,
1700031165,17193,
1700031165,17047,
5500002500,55121,
4800030920,48231,
4200023440,42029,
100032536,1057,
100032536,1093,
1900012000,19113,
3800034180,38029,
1200028400,12105,
3400029070,34031,
3900035864,39171,
1200028575,12007,
3600032402,36119,
1900034410,19187,
3900086772,39057,
3800087740,38077,
4600072820,46083,
2100084486,21111,
4600072620,46095,
4800079624,48209,
4800079612,48305,
4800080188,48447,
3600082750,36071,
2700070420,27067,
5300078925,53053,
3900086184,39081,
1900084900,19107,
5500086450,55107,
3400080270,34003,
5000085900,50027,
1700080281,17023,
600084410,6037,
500076010,5043,
4200082296,42011,
1200075812,12099,
5300079380,53047,
3900081858,39095,
2700068548,27019,
200083080,2170,
3100051595,31177,
100079944,1073,
5500088500,55057,
800082735,8013,
3100051070,31051,
3100051070,31179,
3200083730,32007,
3700073660,37047,
3600070123,36041,
2900073978,29219,
3100047920,31111,
3900083384,39155,
5500078750,55133,
600077364,6035,
3900075574,39029,
3400080120,34015,
1700073495,17139,
1200076600,12099,
2700062104,27045,
3900075014,39133,
2800072040,28129,
100078232,1047,
2800072360,28071,
600064140,6055,
4600057140,46121,
1900070095,19181,
4000072750,40033,
100083400,1111,
4600060660,46009,
1800084410,18171,
1700072624,17103,
3600075627,36067,
5500084250,55133,
100081336,1073,
2600088900,26163,
1900075405,19177,
1800074582,18055,
1700081256,17061,
2900079820,29189,
4800077332,48309,
1900074910,19079,
100084096,1119,
800083230,8069,
